ReefID,ReefName,X_COORD,Y_COORD,Area_HA,PReef,OutbreakStaus,Paired,Pairing,Region,Zone,MgmtArea
21-051,Penn Reef (21-051),149.9296722,-21.49528885,9.14762974,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-052,Digby Reef (21-052),149.913559,-21.49962997,60.06822586,Not Actioned,No Outbreak,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-352,U/N Reef (20-352),150.6589966,-20.95217323,1855.321899,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-453,U/N Reef (20-453),150.5562286,-20.35976982,11.85970879,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-454,U/N Reef (20-454),150.5596924,-20.32524681,41.49603271,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-455,U/N Reef (20-455),150.5626526,-20.32019615,79.32775116,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-456,U/N Reef (20-456),150.5777283,-20.4428997,189.3473816,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-458,U/N Reef (20-458),150.5897827,-20.44947815,22.91291237,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-459,U/N Reef (20-459),150.5948181,-20.37755775,18.30729866,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-460,U/N Reef (20-460),150.6017456,-20.58701515,61.44810486,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-054,Prince Reef (21-054),150.2562256,-21.06552696,73.95319366,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-055,Alarm Reef (21-055),150.2388763,-21.11513329,18.17156982,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-056a,U/N Reef (21-056a),150.5085907,-21.05124092,142.5875855,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-056b,U/N Reef (21-056b),150.4547272,-21.07901001,4964.299316,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-357,U/N Reef (20-357),151.0013123,-20.61915016,21.0436058,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-358,U/N Reef (20-358),151.0318451,-20.63998795,351.9103699,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-359,U/N Reef (20-359),151.045044,-20.65534019,296.3544006,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-360,U/N Reef (20-360),151.0140839,-20.67880058,98.99537659,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-361,U/N Reef (20-361),150.9949646,-20.69497871,316.9838867,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-362,U/N Reef (20-362),151.0361786,-20.68518829,51.95349503,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-363,U/N Reef (20-363),151.0743103,-20.66946983,83.70631409,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-461,U/N Reef (20-461),150.6060028,-20.2727375,68.48894501,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-462,U/N Reef (20-462),150.6085968,-20.32735062,0.3776044,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-463,U/N Reef (20-463),150.630188,-20.44201088,1.20765007,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-464,U/N Reef (20-464),150.6314545,-20.37263298,4.02502441,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-465,U/N Reef (20-465),150.6325531,-20.38067055,7.90667295,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-467,U/N Reef (20-467),150.6360779,-20.37752151,27.61073875,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-469,U/N Reef (20-469),150.6504059,-20.49994469,7125.753418,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-470,U/N Reef (20-470),150.6771393,-20.47095871,170.8464813,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-471,U/N Reef (20-471),150.6786041,-20.48099518,13.00438309,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-057,U/N Reef (21-057),150.4814606,-21.12298584,4670.07666,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-364,U/N Reef (20-364),151.088562,-20.69314384,30.80855179,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-365,U/N Reef (20-365),151.0629578,-20.69101715,23.5521965,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-366,U/N Reef (20-366),151.1109924,-20.71712112,757.3408203,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-369a,Cockatoo Reef (No 1) (20-369a),151.0157623,-20.74736214,8553.320313,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-369b,Cockatoo Reef (No 2) (20-369b),150.9948883,-20.70257759,13.83214855,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-369c,Cockatoo Reef (No 3) (20-369c),151.0414429,-20.71847916,7.08109379,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-369d,Cockatoo Reef (No 4) (20-369d),151.0482025,-20.72468758,2.55666327,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-473,U/N Reef (20-473),150.6901245,-20.48028755,17.26076698,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-474,U/N Reef (20-474),150.693161,-20.46883392,240.5391235,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-476,U/N Reef (20-476),150.7073059,-20.46684074,11.40664005,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-477,U/N Reef (20-477),150.715622,-20.52830124,30.61452293,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-478,U/N Reef (20-478),150.720108,-20.46941948,130.4279327,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-479,U/N Reef (20-479),150.7221069,-20.62629128,7.26965475,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-480,U/N Reef (20-480),150.7241211,-20.22906494,6.33560991,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-481,U/N Reef (20-481),150.732254,-20.21859932,21.03964996,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-482,U/N Reef (20-482),150.7336731,-20.46549034,196.1310425,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-483,U/N Reef (20-483),150.7369843,-20.42467499,36.40920258,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-484,U/N Reef (20-484),150.7374573,-20.2263031,7.68679094,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-485,U/N Reef (20-485),150.7376556,-20.43253517,111.0959091,Not Actioned,No Outbreak,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-486,U/N Reef (20-486),150.7463989,-20.35470009,0.33271247,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-487,U/N Reef (20-487),150.7474365,-20.41424179,0.76959234,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-488,U/N Reef (20-488),150.7555847,-20.44333839,19.17362213,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-489,U/N Reef (20-489),150.7607117,-20.4205246,3.22535491,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-490,U/N Reef (20-490),150.7641449,-20.40253448,3.15361166,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-298,Warland Reef (20-298),150.3817291,-20.60163498,1167.252686,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299a,U/N Reef (20-299a),150.4344025,-20.60325623,982.0675049,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299b,U/N Reef (20-299b),150.3896332,-20.64429283,2774.794678,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-492,U/N Reef (20-492),150.7696686,-20.40394783,0.64356411,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-493,U/N Reef (20-493),150.7700653,-20.20286369,18.48884583,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-494,U/N Reef (20-494),150.7727814,-20.70088959,3.36609483,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-495,U/N Reef (20-495),150.7782288,-20.45646095,40.97076797,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-496,U/N Reef (20-496),150.7798157,-20.70519066,90.4642868,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-497,U/N Reef (20-497),150.7798309,-20.57594681,3.37215066,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299c,Southampton Reef (20-299c),150.4501801,-20.64879608,3487.955322,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299d,Briggs Reef (No 1) (20-299d),150.4516144,-20.68408012,35.17121887,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299e,Briggs Reef (No 2) (20-299e),150.4511108,-20.67592812,14.41417122,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299f,Briggs Reef (No 3) (20-299f),150.4465942,-20.68468094,7.69445992,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299g,Briggs Reef (No 4) (20-299g),150.4489441,-20.68940353,15.87154675,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299h,U/N Reef (20-299h),150.4566956,-20.68958282,4.51525354,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-299j,U/N Reef (20-299j),150.4611054,-20.69063568,3.19039607,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-385,U/N Reef (20-385),151.326294,-20.94240761,2882.444824,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-498,U/N Reef (20-498),150.7825623,-20.41401482,98.40822601,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-499,U/N Reef (20-499),150.7971497,-20.20373344,16.48363304,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-500,U/N Reef (20-500),150.7983246,-20.56061745,13.91843891,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-501,U/N Reef (20-501),150.8034363,-20.3007412,13.69217491,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-502,U/N Reef (20-502),150.8418579,-20.59078407,19.40325737,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-503,U/N Reef (20-503),150.8418732,-20.24764824,25.20131493,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-504,U/N Reef (20-504),150.8515778,-20.26314926,19.25862312,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-505,U/N Reef (20-505),150.8755951,-20.59356499,34.31322098,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-506,U/N Reef (20-506),150.8790283,-20.58362961,54.71078491,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-300,U/N Reef (20-300),150.4657593,-20.63415337,66.08908081,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-301a,Cole Reefs (No2) (20-301a),150.2307282,-20.6812706,707.6535034,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-301b,Cole Reefs (No3) (20-301b),150.2871399,-20.65514565,866.4020996,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-302,Cole Reefs (No1) (20-302),150.1860962,-20.70088959,455.2261047,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-388a,U/N Reef (20-388a),151.3562012,-20.95941734,362.7794495,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-388b,U/N Reef (20-388b),151.3448944,-21.01217842,101.1861954,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-388c,U/N Reef (20-388c),151.3388214,-20.9841404,404.1632385,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-389,Neville Coleman Reef (20-389),151.4033661,-20.96608734,9626.34375,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-390,U/N Reef (20-390),151.3026581,-20.98554993,220.7379456,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-507,U/N Reef (20-507),150.8793335,-20.30348587,357.0420532,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-508,U/N Reef (20-508),150.890686,-20.64827156,6.8619256,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-509,U/N Reef (20-509),150.8920746,-20.62711716,130.2901917,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-510,U/N Reef (20-510),150.8925171,-20.63371086,7.93891191,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-512,U/N Reef (20-512),150.8943787,-20.57236481,6.51016092,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-513,U/N Reef (20-513),150.8987885,-20.64043999,34.47920227,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-002,Oom Shoal (21-002),149.3037872,-21.05428314,54.22872162,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-005a,Downward Patches (No 1) (21-005a),149.2912445,-21.12581825,61.21135712,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-304,McIntyre Reef (20-304),150.4682312,-20.71710205,546.5796509,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-305,Goble Reefs (East) (20-305),150.4846344,-20.78170204,1989.494019,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-306,Goble Reefs (West) (20-306),150.4537659,-20.80457306,307.2823181,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-307,Chauvel Reefs (North) (20-307),150.3760834,-20.81850624,4615.344727,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-391,U/N Reef (20-391),151.4776917,-20.99131012,3893.367676,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-392,U/N Reef (20-392),151.9689941,-20.88855743,975.277832,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-393,U/N Reef (20-393),152.1799316,-20.93001175,129.3231506,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-394,U/N Reef (20-394),152.0720673,-20.94542694,392.6024475,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-395,U/N Reef (20-395),152.2514496,-20.96151733,427.0179749,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-396,Newell Reef (20-396),152.2784882,-20.9671917,732.9301148,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-514,U/N Reef (20-514),150.8995361,-20.6640892,6.10881376,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-515,U/N Reef (20-515),150.900238,-20.6577301,46.33927917,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-516,U/N Reef (20-516),150.9006805,-20.64913177,121.6474686,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-517,U/N Reef (20-517),150.9088745,-20.68639565,12.1958456,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-518,U/N Reef (20-518),150.9106293,-20.64838219,1.31440115,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-519,U/N Reef (20-519),150.9137116,-20.6439476,32.36842728,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-005b,Downward Patches (No 2) (21-005b),149.2911682,-21.13578224,8.14258957,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-005c,Downward Patches (No 3) (21-005c),149.2888336,-21.14499474,75.42066956,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-005d,Downward Patches (No 4) (21-005d),149.2961426,-21.15441513,20.01890182,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-005e,Downward Patches (No 5) (21-005e),149.3164978,-21.16030502,14.51268387,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-005f,Downward Patches (No 6) (21-005f),149.2865143,-21.1625309,110.0535431,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-005g,Downward Patches (No 7) (21-005g),149.3105927,-21.17144203,12.89748764,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-006,Dangerous Reef (21-006),149.2449799,-21.13315773,14.21971321,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-007,Flat Top Reef (21-007),149.2391052,-21.16073608,133.0128021,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-308,Chauvel Reefs (South) (20-308),150.37883,-20.85866737,1208.568359,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-398,U/N Reef (20-398),152.064209,-20.98535919,366.7033997,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-399,U/N Reef (20-399),152.0860291,-20.9924736,92.61878967,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-400,U/N Reef (20-400),152.11026,-21.00201988,102.0317917,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-527,U/N Reef (20-527),150.9808655,-20.79942322,64.14691925,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-009,Round Top Reef (21-009),149.2654724,-21.17368317,21.31401062,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-012,Dudgeon Ledge (21-012),149.2684937,-21.2673378,32.80933762,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-013,Hay Reef (21-013),149.2867737,-21.27493477,49.28487396,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-014,Highwater Reef (21-014),149.3018799,-21.29310036,9.37215233,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-015,Victor Reef (21-015),149.3253784,-21.32810211,128.6255646,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-016,Coral Point Reef (21-016),149.3191681,-21.37216187,41.48019409,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-018,U/N Reef (21-018),149.3334198,-21.41295242,30.76183319,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-311,U/N Reef (20-311),150.7110748,-20.51370049,49.57272339,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-313,U/N Reef (20-313),150.8017883,-20.52220154,160.9421082,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-314,U/N Reef (20-314),150.7584381,-20.52812195,28.42405319,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-315a,U/N Reef (20-315a),150.5615082,-20.56393242,4738.638184,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-315b,U/N Reef (20-315b),150.5761414,-20.54076958,8.30899048,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-315c,U/N Reef (20-315c),150.5921783,-20.56747246,17.50132561,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-316,U/N Reef (20-316),150.7540894,-20.54816246,9.18326855,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-317,U/N Reef (20-317),150.7232361,-20.56340408,53.02531815,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-318,U/N Reef (20-318),150.7733765,-20.56638336,93.58846283,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-407,Coppersmith Reef (20-407),149.1159973,-20.59808922,2.29218602,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-556,U/N Reef (20-556),151.1061401,-20.70207977,40.87487793,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-558,U/N Reef (20-558),150.6130219,-20.98432922,13.50153828,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-019,Freshwater Point Reef (21-019),149.3374786,-21.42988205,38.96500015,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-020,Cullen Reef (21-020),149.4917145,-21.42358971,16.86080933,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-021,Irving Island Reef (21-021),149.4582825,-21.45476913,22.0403595,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-022,Phillips Reef (21-022),149.4939728,-21.46794701,29.38425064,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-023,Taffy Reef (21-023),149.391449,-21.4749527,60.15842056,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-024,Glendower Point Reef (21-024),149.3960114,-21.49760056,54.33353043,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-319,U/N Reef (20-319),150.8222656,-20.56455612,120.3973923,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-320,U/N Reef (20-320),150.8385315,-20.56871796,78.06222534,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-322,U/N Reef (20-322),150.7458649,-20.57420349,647.8535767,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-323,U/N Reef (20-323),150.8647919,-20.58458519,51.66000748,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-324,U/N Reef (20-324),150.7667542,-20.59622574,1455.662476,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-411,U/N Reef (20-411),151.5287018,-20.96113777,72.41667938,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-412,U/N Reef (20-412),151.552002,-20.89334869,245.7578278,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-566,U/N Reef (20-566),151.364624,-20.99393082,8.60736847,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-567,U/N Reef (20-567),151.3704071,-20.99651337,25.80431938,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-568,U/N Reef (20-568),151.3710175,-20.95566177,894.5111694,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-569,U/N Reef (20-569),151.3793182,-20.99149513,17.53319168,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-027,Snare Peak Reef (21-027),149.9355469,-21.1026268,16.1664772,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-029,Overfall Reef (21-029),149.6300812,-21.26690483,7.50559521,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-325,U/N Reef (20-325),150.7327423,-20.62347031,91.34447479,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-326,Molar Reef (20-326),150.8036041,-20.62533188,4810.965332,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-327,U/N Reef (20-327),150.8534851,-20.61770821,633.4876709,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-328a,U/N Reef (20-328a),150.9018555,-20.61783409,393.7962036,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
